"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Durham","V5","VOA Band 5","16838","26438","Inspector","0.60","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Ipswich","V4","VOA Band 4","23115","34808","Caseworker Manager","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Peterborough","V4","VOA Band 5","16838","26438","Inspector","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Exeter","V5","VOA Band 3","31520","44202","Complex Caseworker","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Liverpool","V5","VOA Band 5","16838","26438","Inspector","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Leeds","V5","VOA Band 4","23115","34808","Caseworker","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Alnwick","V5","VOA Band 5","16838","26438","Inspector","0.56","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Performance and Analysis (P&A)","V11","VOA Band 4","23115","34808","Policy Support Officer","0.67","Planning"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Cardiff","V5","VOA Band 4","23115","34808","Caseworker","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Reading","V4","VOA Band 4","23115","34808","Caseworker Manager","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","CS Caseworker Costs","V7","VOA Band 3","31520","44202","Complex Caseworker","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Cambridge","V4","VOA Band 5","16838","26438","Inspector","0.81","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Rating","V8","VOA Band 2","42288","57217","Policy Senior Support Officer","1.00","Policy"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Ipswich","V4","VOA Band 5","16838","26438","Inspector","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Bristol","V5","VOA Band 1","54120","67856","Senior Business Manager","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Leeds","V5","VOA Band 5","16838","26438","Inspector","0.86","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Finance, Strategy and Planning (FS&P)","V11","VOA Band 3","31520","44202","Policy Complex Support Manager","1.00","Finance"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Reigate","V4","VOA Band 4","23115","34808","Caseworker","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","CS Caseworker Costs","V7","VOA Band 2","42288","57217","Senior Complex Caseworker","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Minerals Team","V10","VOA Band 2","42288","57217","Senior Complex Caseworker Manager","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Manchester","V5","VOA Band 3","31520","44202","Complex Caseworker","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Corporate Accom Unit","V2","VOA Band 6","16395","22103","Admin Support Officer","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","London Central (Westminister)","V4","VOA Band 5","16838","26438","Inspector","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Southern SRU","V4","VOA Band 4","23115","34808","Caseworker","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Southern SRU","V4","VOA Band 3","31520","44202","Complex Caseworker","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Taunton","V5","VOA Band 5","16838","26438","Inspector","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Norwich","V4","VOA Band 4","23115","34808","Caseworker","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","York","V5","VOA Band 5","16838","26438","Inspector","0.64","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","CS Caseworker Costs","V7","VOA Band 3","31520","44202","Complex Caseworker","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Bangor","V5","VOA Band 5","16838","26438","Inspector","0.72","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Harrow","V4","VOA Band 5","16838","26438","Inspector","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","City & Tower Hamlets","V4","VOA Band 4","23115","34808","Caseworker Manager","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Swansea","V5","VOA Band 3","31520","44202","Complex Caseworker","0.81","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Peterborough","V4","VOA Band 4","23115","34808","Caseworker","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Rating","V8","VOA Band 2","42288","57217","Policy Senior Support Officer","1.00","Policy"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Newport","V5","VOA Band 4","23115","34808","Caseworker","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Kidderminster","V5","VOA Band 3","31520","44202","Complex Caseworker","0.67","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Council Tax and Housing Allowances","V6","VOA Band 3","31520","44202","Policy Complex Support Officer","1.00","Knowledge and Information Management (KIM)"
"Her Majesty's Revenue and Customs","Valuation Office Agency","2015 VOA Strategy","V9","VOA Band 1","54120","67856","Policy Senior Support Officer","1.00","Programme and Project Management (PPM)"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Finance, Strategy and Planning (FS&P)","V11","VOA Band 1","54120","67856","Senior Policy Manager","1.00","Finance"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Sheffield","V4","VOA Band 3","31520","44202","Complex Caseworker","0.38","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","East Anglia","V4","VOA Band 3","31520","44202","Complex Caseworker","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Basingstoke","V4","VOA Band 5","16838","26438","Inspector","0.81","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Plymouth","V5","VOA Band 4","23115","34808","Caseworker Manager","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","London North","V4","VOA Band 3","31520","44202","Complex Caseworker","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","CS & NCS","V7","VOA Band 4","23115","34808","Caseworker Manager","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Swansea","V5","VOA Band 2","42288","57217","Senior Complex Caseworker Manager","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","NCS Caseworkers Costs","V7","VOA Band 3","31520","44202","Complex Caseworker","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Worcester","V5","VOA Band 5","16838","26438","Inspector","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Liverpool","V5","VOA Band 2","42288","57217","Senior Complex Caseworker","0.81","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Newcastle","V5","VOA Band 5","16838","26438","Inspector","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Portfolio Delivery Group","V2","VOA Band 3","31520","44202","Policy Complex Support Manager","1.00","Information Technology"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Bournemouth","V5","VOA Band 4","23115","34808","Caseworker","0.48","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Operations","V3","VOA Band 4","23115","34808","Policy Support Officer","1.00","Knowledge and Information Management (KIM)"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Newport","V5","VOA Band 2","42288","57217","Senior Complex Caseworker Manager","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Wrexham","V5","VOA Band 3","31520","44202","Complex Caseworker","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Exeter","V5","VOA Band 3","31520","44202","Complex Caseworker","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","City & Tower Hamlets","V4","VOA Band 6","16395","22103","Admin Support Officer","0.58","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Manchester","V5","VOA Band 3","31520","44202","Complex Caseworker","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Leeds","V5","VOA Band 4","23115","34808","Caseworker","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","CS Caseworker Costs","V7","VOA Band 2","42288","57217","Senior Complex Caseworker","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","CS & NCS","V7","VOA Band 3","31520","44202","Complex Caseworker","0.56","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Hull","V4","VOA Band 4","23115","34808","Caseworker Manager","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Data Strategy","V2","VOA Band 2","42288","57217","Policy Senior Manager","1.00","Knowledge and Information Management (KIM)"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Cambridge","V4","VOA Band 6","16395","22103","Admin Support Officer","0.50","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Learning","V9","VOA Band 4","23115","34808","Policy Support Officer Manager","1.00","Human Resources"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Harrow","V4","VOA Band 5","16838","26438","Inspector","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Carlisle","V5","VOA Band 5","16838","26438","Inspector","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Shrewsbury","V5","VOA Band 4","23115","34808","Caseworker Manager","0.59","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Leeds","V5","VOA Band 3","31520","44202","Complex Caseworker","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","NCS Caseworkers Costs","V7","VOA Band 3","31520","44202","Complex Caseworker","0.86","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Leeds","V5","VOA Band 5","16838","26438","Inspector","0.86","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","St Albans","V4","VOA Band 5","16838","26438","Inspector","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Northern SRU","V4","VOA Band 2","42288","57217","Senior Complex Caseworker Manager","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Newcastle","V5","VOA Band 5","16838","26438","Inspector","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Northern SRU","V4","VOA Band 4","23115","34808","Caseworker","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Worcester","V5","VOA Band 4","23115","34808","Caseworker","0.64","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Northern SRU","V4","VOA Band 3","31520","44202","Complex Caseworker","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Wales & Western SRU","V4","VOA Band 3","31520","44202","Complex Caseworker","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Reading","V4","VOA Band 4","23115","34808","Caseworker","0.59","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Carmarthen","V5","VOA Band 3","31520","44202","Complex Caseworker","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Derby","V5","VOA Band 5","16838","26438","Inspector","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","City & Tower Hamlets","V4","VOA Band 6","16395","22103","Admin Support Officer","0.44","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Leeds","V5","VOA Band 4","23115","34808","Caseworker","0.64","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Hull","V4","VOA Band 7","13133","18074","Admin Support Officer","0.56","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Oxford","V4","VOA Band 6","16395","22103","Admin Support Officer","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Council Tax and Housing Allowances","V6","VOA Band 3","31520","44202","Policy Complex Support Officer","1.00","Knowledge and Information Management (KIM)"
